コード,銘柄名,市場,現在値,前日比(%),時価総額(百万円),時価総額(億円),時価総額(兆円),ランク
2270,雪印メグミルク,東P,3450,-15.0(-0.43%),"220,232","2,202",2.20,04_1000億以上~5000億未満
2281,プリマハム,東P,2288,-29.0(-1.25%),"115,600","1,156",1.16,04_1000億以上~5000億未満
2282,日本ハム,東P,5836,-74.0(-1.25%),"550,014","5,500",5.50,03_5000億以上~1兆未満
2286,林兼産業,東S,835,+2.0(+0.24%),"7,440",74,0.07,07_100億未満
2288,丸大食品,東P,2151,-49.0(-2.23%),"57,014",570,0.57,05_500億以上~1000億未満
228A,オプロ,東G,1854,-35.0(-1.85%),"4,338",43,0.04,07_100億未満
2291,福留ハム,東S,502,-7.0(-1.38%),"1,707",17,0.02,07_100億未満
2292,Ｓ　ＦＯＯＤＳ,東P,2575,-27.0(-1.04%),"83,089",831,0.83,05_500億以上~1000億未満
2293,滝沢ハム,東S,2618,-13.0(-0.49%),"5,503",55,0.06,07_100億未満
2294,柿安本店,東P,2512,+1.0(+0.04%),"31,266",313,0.31,06_100億以上~500億未満
2296,伊藤ハム米久ＨＬＤＧ,東P,4670,-65.0(-1.37%),"268,390","2,684",2.68,04_1000億以上~5000億未満
2300,きょくとう,東S,495,-2.0(-0.40%),"2,748",27,0.03,07_100億未満
2301,学情,東P,1549,-5.0(-0.32%),"24,102",241,0.24,06_100億以上~500億未満
2303,ドーン,東S,1255,-18.0(-1.41%),"8,283",83,0.08,07_100億未満
2304,ＣＳＳ　ＨＬＤＧ,東S,912,-3.0(-0.33%),"4,820",48,0.05,07_100億未満
2305,スタジオアリス,東S,1776,-2.0(-0.11%),"30,522",305,0.31,06_100億以上~500億未満
2307,クロスキャット,東P,919,+18.0(+2.00%),"15,628",156,0.16,06_100億以上~500億未満
2311,エプコ,東S,770,-2.0(-0.26%),"7,173",72,0.07,07_100億未満
2315,ＣＡＩＣＡ　ＤＩＧＩＴＡＬ,東S,59,-3.0(-4.84%),"10,684",107,0.11,06_100億以上~500億未満
2317,システナ,東P,416,+0.0(+0.00%),"177,166","1,772",1.77,04_1000億以上~5000億未満
2321,ソフトフロントＨＬＤＧ,東G,147,+1.0(+0.68%),"7,642",76,0.08,07_100億未満
2323,ｆｏｎｆｕｎ,東S,362,-9.0(-2.43%),"7,708",77,0.08,07_100億未満
2325,ＮＪＳ,東P,4770,-85.0(-1.75%),"47,929",479,0.48,06_100億以上~500億未満
2326,デジタルアーツ,東P,3695,+0.0(+0.00%),"52,221",522,0.52,05_500億以上~1000億未満
2327,日鉄ソリューションズ,東P,3433,+10.0(+0.29%),"628,246","6,282",6.28,03_5000億以上~1兆未満
2329,東北新社,東S,526,-7.0(-1.31%),"73,748",737,0.74,05_500億以上~1000億未満
2330,フォーサイド,東S,72,-3.0(-4.00%),"3,146",31,0.03,07_100億未満
2331,ＡＬＳＯＫ,東P,1064.5,-10.0(-0.93%),"543,108","5,431",5.43,03_5000億以上~1兆未満
2332,クエスト,東S,1837,-33.0(-1.76%),"10,081",101,0.10,06_100億以上~500億未満
2334,イオレ,東G,638,+100.0(+18.59%),"27,242",272,0.27,06_100億以上~500億未満
2335,キューブシステム,東P,1004,-11.0(-1.08%),"15,813",158,0.16,06_100億以上~500億未満
2337,いちご,東P,447,-2.0(-0.45%),"186,147","1,861",1.86,04_1000億以上~5000億未満
2338,クオンタムソリューションズ,東S,133,+17.0(+14.66%),"6,550",66,0.07,07_100億未満
2340,極楽湯ＨＬＤＧ,東S,472,+0.0(+0.00%),"14,973",150,0.15,06_100億以上~500億未満
2341,アルバイトタイムス,東S,157,+0.0(+0.00%),"4,151",42,0.04,07_100億未満
2342,トランスジェニックグループ,東S,220,-12.0(-5.17%),"3,740",37,0.04,07_100億未満
2345,ＨＯＤＬ１,東S,211,-1.0(-0.47%),"3,926",39,0.04,07_100億未満
2349,エヌアイデイ,東S,-,- (-%),"31,371",314,0.31,06_100億以上~500億未満
2351,ＡＳＪ,東S,316,-6.0(-1.86%),"2,513",25,0.03,07_100億未満
2353,日本駐車場開発,東P,234,-4.0(-1.68%),"81,525",815,0.82,05_500億以上~1000億未満
2354,ＹＥ　ＤＩＧＩＴＡＬ,東S,937,-29.0(-3.00%),"17,352",174,0.17,06_100億以上~500億未満
2359,コア,東P,2040,-1.0(-0.05%),"30,263",303,0.30,06_100億以上~500億未満
2370,メディネット,東G,28,+0.0(+0.00%),"7,838",78,0.08,07_100億未満
2371,カカクコム,東P,3331,-4.0(-0.12%),"660,265","6,603",6.60,03_5000億以上~1兆未満
2373,ケア２１,東S,417,+6.0(+1.46%),"6,190",62,0.06,07_100億未満
2375,ギグワークス,東S,212,+1.0(+0.47%),"4,691",47,0.05,07_100億未満
2376,サイネックス,東S,791,-4.0(-0.50%),"5,118",51,0.05,07_100億未満
2378,ルネサンス,東P,973,-8.0(-0.82%),"20,802",208,0.21,06_100億以上~500億未満
2379,ディップ,東P,1737,-9.0(-0.52%),"104,463","1,045",1.04,04_1000億以上~5000億未満
2384,ＳＢＳ　ＨＬＤＧ,東P,4565,-75.0(-1.62%),"181,314","1,813",1.81,04_1000億以上~5000億未満
2385,総医研ＨＬＤＧ,東G,246,-1.0(-0.40%),"6,435",64,0.06,07_100億未満
2388,ウェッジＨＬＤＧ,東G,40,-2.0(-4.76%),"1,700",17,0.02,07_100億未満
2391,プラネット,東S,1183,+0.0(+0.00%),"7,847",78,0.08,07_100億未満
2393,日本ケアサプライ,東S,2547,+47.0(+1.88%),"41,357",414,0.41,06_100億以上~500億未満
2395,新日本科学,東P,1092,-13.0(-1.18%),"45,463",455,0.45,06_100億以上~500億未満
2404,鉄人化ＨＬＤＧ,東S,576,-4.0(-0.69%),"7,959",80,0.08,07_100億未満
2408,ＫＧ情報,東S,876,+0.0(+0.00%),"6,481",65,0.06,07_100億未満
2410,キャリアデザインセンター,東P,2541,-12.0(-0.47%),"13,970",140,0.14,06_100億以上~500億未満
2411,ゲンダイエージェンシー,東S,439,-3.0(-0.68%),"5,400",54,0.05,07_100億未満
2413,エムスリー,東P,1545,+6.5(+0.42%),"1,049,247","10,492",10.49,02_1兆以上~10兆未満
2415,ヒューマンＨＬＤＧ,東S,1518,-3.0(-0.20%),"15,754",158,0.16,06_100億以上~500億未満
2418,ツカダ・グローバルＨＬＤＧ,東S,559,-4.0(-0.71%),"27,369",274,0.27,06_100億以上~500億未満
241A,ＲＯＸＸ,東G,565,+1.0(+0.18%),"4,115",41,0.04,07_100億未満
2424,ブラス,東S,594,-3.0(-0.50%),"3,391",34,0.03,07_100億未満
2425,ケアサービス,東S,652,+2.0(+0.31%),"2,738",27,0.03,07_100億未満
2428,ウェルネット,東S,601,-7.0(-1.15%),"11,659",117,0.12,06_100億以上~500億未満
2429,ワールドＨＬＤＧ,東P,2292,-47.0(-2.01%),"41,287",413,0.41,06_100億以上~500億未満
2432,ディー・エヌ・エー,東P,2632,-64.5(-2.39%),"321,487","3,215",3.21,04_1000億以上~5000億未満
2433,博報堂ＤＹ　ＨＬＤＧ,東P,1123,-8.5(-0.75%),"408,663","4,087",4.09,04_1000億以上~5000億未満
2435,シダー,東S,205,+0.0(+0.00%),"2,353",24,0.02,07_100億未満
2436,共同ピーアール,東S,1028,-4.0(-0.39%),"9,062",91,0.09,07_100億未満
2437,Ｓｈｉｎｗａ　Ｗｉｓｅ　ＨＬＤ,東S,397,-13.0(-3.17%),"4,374",44,0.04,07_100億未満
2438,アスカネット,東G,350,-1.0(-0.28%),"6,112",61,0.06,07_100億未満
2440,ぐるなび,東S,124,+2.0(+1.64%),"7,056",71,0.07,07_100億未満
2445,タカミヤ,東S,375,-2.0(-0.53%),"17,470",175,0.17,06_100億以上~500億未満
2449,プラップジャパン,東S,1041,-6.0(-0.57%),"4,871",49,0.05,07_100億未満
244A,グロースエクスパートナーズ,東G,1169,+32.0(+2.81%),"3,949",39,0.04,07_100億未満
2454,オールアバウト,東S,356,+0.0(+0.00%),"5,064",51,0.05,07_100億未満
2459,アウンコンサルティング,東S,185,-3.0(-1.60%),"1,388",14,0.01,07_100億未満
245A,ＩＮＧＳ,東G,2327,-13.0(-0.56%),"5,875",59,0.06,07_100億未満
2461,ファンコミュニケーションズ,東P,410,-1.0(-0.24%),"27,187",272,0.27,06_100億以上~500億未満
2462,ライク,東P,1396,-28.0(-1.97%),"28,569",286,0.29,06_100億以上~500億未満
2464,Ａｏｂａ−ＢＢＴ,東S,314,-6.0(-1.88%),"4,479",45,0.04,07_100億未満
2469,ヒビノ,東S,2635,-58.0(-2.15%),"27,050",271,0.27,06_100億以上~500億未満
246A,アスア,東G,1047,-15.0(-1.41%),"2,820",28,0.03,07_100億未満
2471,エスプール,東P,239,+3.0(+1.27%),"18,883",189,0.19,06_100億以上~500億未満
2475,ＷＤＢ　ＨＬＤＧ,東P,1738,-6.0(-0.34%),"34,864",349,0.35,06_100億以上~500億未満
2477,手間いらず,東S,2114,-6.0(-0.28%),"13,701",137,0.14,06_100億以上~500億未満
2479,ジェイテック,東S,236,-3.0(-1.26%),"2,023",20,0.02,07_100億未満
247A,Ａｉロボティクス,東G,670,-5.0(-0.74%),"43,516",435,0.44,06_100億以上~500億未満
2480,システム・ロケーション,東S,1696,-4.0(-0.24%),"6,055",61,0.06,07_100億未満
2481,タウンニュース社,東S,646,-7.0(-1.07%),"3,602",36,0.04,07_100億未満
2483,翻訳センター,東S,2083,-10.0(-0.48%),"7,018",70,0.07,07_100億未満
2484,出前館,東S,119,+1.0(+0.85%),"13,373",134,0.13,06_100億以上~500億未満
2485,ティア,東S,449,+2.0(+0.45%),"10,107",101,0.10,06_100億以上~500億未満
2488,ＪＴＰ,東S,1336,-23.0(-1.69%),"8,037",80,0.08,07_100億未満
2489,アドウェイズ,東S,265,+0.0(+0.00%),"11,132",111,0.11,06_100億以上~500億未満
248A,キッズスター,東G,868,-6.0(-0.69%),"2,275",23,0.02,07_100億未満
2491,バリューコマース,東P,459,-2.0(-0.43%),"15,822",158,0.16,06_100億以上~500億未満
2492,インフォマート,東P,368,-17.0(-4.42%),"98,443",984,0.98,05_500億以上~1000億未満
2493,イーサポートリンク,東S,901,+0.0(+0.00%),"3,987",40,0.04,07_100億未満
2497,ユナイテッド,東G,490,+0.0(+0.00%),"19,802",198,0.20,06_100億以上~500億未満
2498,オリエンタルコンサルタンツＨＤ,東S,2900,-5.0(-0.17%),"35,843",358,0.36,06_100億以上~500億未満
2499,日本和装ＨＬＤＧ,東S,279,-2.0(-0.71%),"2,548",25,0.03,07_100億未満
2501,サッポロＨＬＤＧ,東P,1582.5,-10.0(-0.63%),"623,460","6,235",6.23,03_5000億以上~1兆未満
2502,アサヒグループＨＬＤＧ,東P,1488,-2.0(-0.13%),"2,263,263","22,633",22.63,02_1兆以上~10兆未満
2503,キリンＨＬＤＧ,東P,2627.5,-10.0(-0.38%),"2,144,040","21,440",21.44,02_1兆以上~10兆未満
250A,シマダヤ,東S,1530,-26.0(-1.67%),"23,265",233,0.23,06_100億以上~500億未満
2531,宝ＨＬＤＧ,東P,2182,+81.5(+3.88%),"430,404","4,304",4.30,04_1000億以上~5000億未満
2533,オエノンＨＬＤＧ,東P,474,-1.0(-0.21%),"31,088",311,0.31,06_100億以上~500億未満
253A,ＥＴＳグループ,東S,1029,-18.0(-1.72%),"6,554",66,0.07,07_100億未満
2540,養命酒製造,東P,4015,-15.0(-0.37%),"66,248",662,0.66,05_500億以上~1000億未満
254A,ＡＩ　フュージョンキャピタルグ,東S,962,-37.0(-3.70%),"9,334",93,0.09,07_100億未満
255A,ジーエルテクノＨＬＤＧ,東S,6200,+0.0(+0.00%),"84,824",848,0.85,05_500億以上~1000億未満
256A,飛島ＨＬＤＧ,東P,1889,-25.0(-1.31%),"36,318",363,0.36,06_100億以上~500億未満
2573,北海道コカ・コーラボトリング,東S,4175,-5.0(-0.12%),"56,813",568,0.57,05_500億以上~1000億未満
2579,コカ・コーラボトラーズＪＰＨＤ,東P,3526,-2.0(-0.06%),"603,893","6,039",6.04,03_5000億以上~1兆未満
2585,ライフドリンク　カンパニー,東P,1780,-29.0(-1.60%),"93,145",931,0.93,05_500億以上~1000億未満
2586,フルッタフルッタ,東G,95,-7.0(-6.86%),"10,760",108,0.11,06_100億以上~500億未満
2587,サントリービバレッジ＆フード,東P,4196,-107.0(-2.49%),"1,296,564","12,966",12.97,02_1兆以上~10兆未満
2588,プレミアムウォーターＨＬＤＧ,東S,3365,+0.0(+0.00%),"73,422",734,0.73,05_500億以上~1000億未満
2590,ダイドーグループＨＬＤＧ,東P,2496,-24.0(-0.95%),"82,710",827,0.83,05_500億以上~1000億未満
2593,伊藤園,東P,2710,+25.5(+0.95%),"318,315","3,183",3.18,04_1000億以上~5000億未満
2594,キーコーヒー,東P,1915,-20.0(-1.03%),"43,449",434,0.43,06_100億以上~500億未満
2597,ユニカフェ,東S,1079,+0.0(+0.00%),"14,965",150,0.15,06_100億以上~500億未満
2602,日清オイリオグループ,東P,1735,+4.0(+0.23%),"165,325","1,653",1.65,04_1000億以上~5000億未満
2607,不二製油,東P,3393,-25.0(-0.73%),"297,123","2,971",2.97,04_1000億以上~5000億未満
2612,かどや製油,東S,1487,-1.0(-0.07%),"41,933",419,0.42,06_100億以上~500億未満
2613,Ｊ―オイルミルズ,東P,1962,-8.0(-0.41%),"65,744",657,0.66,05_500億以上~1000億未満
261A,日水コン,東S,2180,-13.0(-0.59%),"25,868",259,0.26,06_100億以上~500億未満
262A,インターメスティック,東P,1860,-23.0(-1.22%),"56,949",569,0.57,05_500億以上~1000億未満
264A,Ｓｃｈｏｏ,東G,289,-4.0(-1.37%),"3,674",37,0.04,07_100億未満
2652,まんだらけ,東S,359,+2.0(+0.56%),"12,989",130,0.13,06_100億以上~500億未満
2653,イオン九州,東S,2786,-11.0(-0.39%),"97,046",970,0.97,05_500億以上~1000億未満
2654,アスモ,東S,389,-3.0(-0.77%),"5,891",59,0.06,07_100億未満
2656,ベクターＨＬＤＧ,東S,178,-4.0(-2.20%),"5,641",56,0.06,07_100億未満
2659,サンエー,東P,3135,-10.0(-0.32%),"200,525","2,005",2.01,04_1000億以上~5000億未満
265A,Ｈｍｃｏｍｍ,東G,654,-41.0(-5.90%),"2,680",27,0.03,07_100億未満
2664,カワチ薬品,東P,3310,-70.0(-2.07%),"81,371",814,0.81,05_500億以上~1000億未満
2666,オートウェーブ,東S,156,-3.0(-1.89%),"2,254",23,0.02,07_100億未満
2667,イメージワン,東S,148,-10.0(-6.33%),"2,248",22,0.02,07_100億未満
2668,タビオ,東S,1241,-4.0(-0.32%),"8,456",85,0.08,07_100億未満
2669,カネ美食品,東S,3830,-25.0(-0.65%),"38,300",383,0.38,06_100億以上~500億未満
2670,エービーシー・マート,東P,2693,+34.5(+1.30%),"666,838","6,668",6.67,03_5000億以上~1兆未満
2673,夢みつけ隊,東S,86,-5.0(-5.49%),899,9,0.01,07_100億未満
2674,ハードオフコーポレーション,東P,2292,-39.0(-1.67%),"31,983",320,0.32,06_100億以上~500億未満
2676,高千穂交易,東P,2049,+40.0(+1.99%),"41,684",417,0.42,06_100億以上~500億未満
2678,アスクル,東P,1180,-27.0(-2.24%),"105,930","1,059",1.06,04_1000億以上~5000億未満
2681,ゲオＨＬＤＧ,東P,1988,-38.0(-1.88%),"79,090",791,0.79,05_500億以上~1000億未満
2683,魚喜,東S,1002,+1.0(+0.10%),"2,561",26,0.03,07_100億未満
2685,アンドエスティＨＤ,東P,3530,+105.0(+3.07%),"172,264","1,723",1.72,04_1000億以上~5000億未満
2686,ジーフット,東S,297,+1.0(+0.34%),"12,647",126,0.13,06_100億以上~500億未満
2687,シー・ヴイ・エス・ベイエリア,東S,476,+0.0(+0.00%),"2,410",24,0.02,07_100億未満
2689,オルバヘルスケアＨＬＤＧ,東S,2054,-4.0(-0.19%),"12,838",128,0.13,06_100億以上~500億未満
268A,リガク・ＨＬＤＧ,東P,3070,-165.0(-5.10%),"695,178","6,952",6.95,03_5000億以上~1兆未満
2693,ＹＫＴ,東S,383,+12.0(+3.23%),"4,560",46,0.05,07_100億未満
2694,焼肉坂井ＨＬＤＧ,東S,70,+0.0(+0.00%),"16,791",168,0.17,06_100億以上~500億未満
2695,くら寿司,東P,1526,-20.0(-1.29%),"126,352","1,264",1.26,04_1000億以上~5000億未満
2698,キャンドゥ,東S,3175,+0.0(+0.00%),"53,245",532,0.53,05_500億以上~1000億未満
269A,Ｓａｐｅｅｔ,東G,2196,-53.0(-2.36%),"3,595",36,0.04,07_100億未満
2700,木徳神糧,東S,1743,-6.0(-0.34%),"14,868",149,0.15,06_100億以上~500億未満
2702,日本マクドナルドＨＬＤＧ,東S,7310,-180.0(-2.40%),"971,938","9,719",9.72,03_5000億以上~1兆未満
2705,大戸屋ＨＬＤＧ,東S,7020,-120.0(-1.68%),"50,988",510,0.51,05_500億以上~1000億未満
2708,久世,東S,1825,-5.0(-0.27%),"8,443",84,0.08,07_100億未満
2721,ジェイＨＬＤＧ,東S,115,-1.0(-0.86%),"1,374",14,0.01,07_100億未満
2722,ＩＫＨＬＤＧ,東S,364,+5.0(+1.39%),"3,024",30,0.03,07_100億未満
2726,パルグループＨＬＤＧ,東P,1396,+3.0(+0.22%),"258,383","2,584",2.58,04_1000億以上~5000億未満
2730,エディオン,東P,2667,+293.0(+12.34%),"298,719","2,987",2.99,04_1000億以上~5000億未満
2733,あらた,東P,2441,-46.0(-1.85%),"88,016",880,0.88,05_500億以上~1000億未満
2734,サーラコーポレーション,東P,966,+0.0(+0.00%),"63,796",638,0.64,05_500億以上~1000億未満
2735,ワッツ,東S,604,+3.0(+0.50%),"8,129",81,0.08,07_100億未満
2736,フェスタリアＨＬＤＧ,東S,667,+1.0(+0.15%),"2,423",24,0.02,07_100億未満
2737,トーメンデバイス,東P,14270,-460.0(-3.12%),"97,065",971,0.97,05_500億以上~1000億未満
2742,ハローズ,東P,3695,-35.0(-0.94%),"79,397",794,0.79,05_500億以上~1000億未満
2747,北雄ラッキー,東S,-,- (-%),"3,851",39,0.04,07_100億未満
2749,ＪＰ　ＨＬＤＧ,東P,589,-11.0(-1.83%),"51,743",517,0.52,05_500億以上~1000億未満
274A,ガーデン,東S,2210,-10.0(-0.45%),"15,801",158,0.16,06_100億以上~500億未満
2750,石光商事,東S,1230,-2.0(-0.16%),"9,840",98,0.10,07_100億未満
2751,テンポスＨＬＤＧ,東S,3495,+20.0(+0.58%),"50,030",500,0.50,05_500億以上~1000億未満
2752,フジオフードグループ本社,東P,1150,+0.0(+0.00%),"58,995",590,0.59,05_500億以上~1000億未満
2753,あみやき亭,東P,1300,+7.0(+0.54%),"26,710",267,0.27,06_100億以上~500億未満
2760,東京エレクトロン　デバイス,東P,4235,+20.0(+0.47%),"132,710","1,327",1.33,04_1000億以上~5000億未満
2762,ＳＡＮＫＯ　ＭＡＲＫＥＴＩＮＧ,東S,92,+0.0(+0.00%),"3,731",37,0.04,07_100億未満
2763,エフティグループ,東S,1070,+37.0(+3.58%),"32,466",325,0.32,06_100億以上~500億未満
2764,ひらまつ,東S,130,-5.0(-3.70%),"9,716",97,0.10,07_100億未満
2767,円谷フィールズＨＬＤＧ,東P,1355,-24.0(-1.74%),"88,656",887,0.89,05_500億以上~1000億未満
2768,双日,東P,5155,-2.0(-0.04%),"1,082,550","10,826",10.83,02_1兆以上~10兆未満
2769,ヴィレッジヴァンガードコーポレ,東S,822,+2.0(+0.24%),"6,462",65,0.06,07_100億未満
276A,ククレブ・アドバイザーズ,東G,2770,+19.0(+0.69%),"14,123",141,0.14,06_100億以上~500億未満
2776,新都ＨＬＤＧ,東S,113,-2.0(-1.74%),"6,088",61,0.06,07_100億未満
2778,パレモＨＬＤＧ,東S,110,+1.0(+0.92%),"1,326",13,0.01,07_100億未満
277A,グロービング,東P,2315,-180.0(-7.21%),"66,505",665,0.67,05_500億以上~1000億未満
2780,コメ兵ＨＬＤＧ,東S,5020,-130.0(-2.52%),"56,510",565,0.57,05_500億以上~1000億未満
2782,セリア,東S,3715,-5.0(-0.13%),"281,746","2,817",2.82,04_1000億以上~5000億未満
2784,アルフレッサＨＬＤＧ,東P,2200,+5.0(+0.23%),"420,860","4,209",4.21,04_1000億以上~5000億未満
2788,アップルインターナショナル,東S,373,-1.0(-0.27%),"5,201",52,0.05,07_100億未満
2789,カルラ,東S,456,-1.0(-0.22%),"2,746",27,0.03,07_100億未満
278A,Ｔｅｒｒａ　Ｄｒｏｎｅ,東G,8050,-540.0(-6.29%),"78,479",785,0.78,05_500億以上~1000億未満
2790,ナフコ,東S,2077,-9.0(-0.43%),"61,862",619,0.62,05_500億以上~1000億未満
2791,大黒天物産,東P,4170,-15.0(-0.36%),"60,475",605,0.60,05_500億以上~1000億未満
2792,ハニーズＨＬＤＧ,東P,1359,+0.0(+0.00%),"37,916",379,0.38,06_100億以上~500億未満
2795,日本プリメックス,東S,907,+0.0(+0.00%),"5,010",50,0.05,07_100億未満
2796,ファーマライズホールディングス,東S,501,-2.0(-0.40%),"6,042",60,0.06,07_100億未満
2798,ワイズテーブルコーポレーション,東S,2988,-6.0(-0.20%),"9,856",99,0.10,07_100億未満
2801,キッコーマン,東P,1450,-29.5(-1.99%),"1,405,653","14,057",14.06,02_1兆以上~10兆未満
2802,味の素,東P,5118,-109.0(-2.09%),"5,004,051","50,041",50.04,02_1兆以上~10兆未満
2804,ブルドックソース,東P,1692,-17.0(-0.99%),"22,349",223,0.22,06_100億以上~500億未満
2805,エスビー食品,東S,4950,-410.0(-7.65%),"134,860","1,349",1.35,04_1000億以上~5000億未満
2806,ユタカフーズ,東S,1925,+14.0(+0.73%),"17,002",170,0.17,06_100億以上~500億未満
2809,キユーピー,東P,3985,-51.0(-1.26%),"563,878","5,639",5.64,03_5000億以上~1兆未満
280A,ＴＭＨ,東G,2479,+95.0(+3.98%),"9,273",93,0.09,07_100億未満
2810,ハウス食品グループ本社,東P,3447,-28.0(-0.81%),"317,463","3,175",3.17,04_1000億以上~5000億未満
2811,カゴメ,東P,2512.5,+1.5(+0.06%),"228,971","2,290",2.29,04_1000億以上~5000億未満
2813,和弘食品,東S,3860,+10.0(+0.26%),"10,993",110,0.11,06_100億以上~500億未満
